name;adress ;phone
Arabianranta Library; H?meentie 135 A ;504-845-1427
Entresse Library  ; Siltakatu 11 ;810-374-9840
Hakunila Library ;Kimokuja 5 ;907-921-2010
Hiekkaharju Library;Urheilutie 4 ;513-549-4561
Kallio Library ;Viides Linja 11 ;408-813-1105
Kauniainen library ;Thurmaninaukio 6;410-804-4694
Lauttasaari Library  ; Pajalahdentie 10a ;215-422-8694
Library Apple ;Piispansilta 11 ;631-677-3675
Malmi Library ;Ala-Malmin Tori 1 ;310-254-3084
Saunalahti Library ;Brinkinm?entie 1;440-579-7763
